TRADE_DATE,CURRENCY,VALUE
1971-04-02,DEXJPUS,357.53
1971-04-05,DEXJPUS,357.5
1971-04-06,DEXJPUS,357.46
1971-04-07,DEXJPUS,357.55
1971-04-08,DEXJPUS,357.55
1971-04-09,DEXJPUS,357.5
1971-04-12,DEXJPUS,357.5
1971-04-13,DEXJPUS,357.62
1971-04-14,DEXJPUS,357.58
1971-04-15,DEXJPUS,357.5
1971-04-16,DEXJPUS,357.54
1971-04-19,DEXJPUS,357.49
1971-04-20,DEXJPUS,357.49
1971-04-21,DEXJPUS,357.49
1971-04-22,DEXJPUS,357.49
1971-04-23,DEXJPUS,357.49
1971-04-26,DEXJPUS,357.5
1971-04-27,DEXJPUS,357.49
1971-04-28,DEXJPUS,357.5
1971-04-29,DEXJPUS,357.41
1971-04-30,DEXJPUS,357.4
1971-05-03,DEXJPUS,357.41
1971-05-04,DEXJPUS,357.4
1971-05-05,DEXJPUS,357.4
1971-05-06,DEXJPUS,357.41
1971-05-07,DEXJPUS,357.41
1971-05-10,DEXJPUS,357.14
1971-05-11,DEXJPUS,357.44
1971-05-12,DEXJPUS,357.53
1971-05-13,DEXJPUS,357.49
1971-05-14,DEXJPUS,357.49
1971-05-17,DEXJPUS,357.4
1971-05-18,DEXJPUS,357.44
1971-05-19,DEXJPUS,357.4
1971-05-20,DEXJPUS,357.46
1971-05-21,DEXJPUS,357.4
1971-05-24,DEXJPUS,357.4
1971-05-25,DEXJPUS,357.4
1971-05-26,DEXJPUS,357.44
1971-05-27,DEXJPUS,357.4
1971-05-28,DEXJPUS,357.4
1971-05-31,DEXJPUS,357.4
1971-06-01,DEXJPUS,357.46
1971-06-02,DEXJPUS,357.4
1971-06-03,DEXJPUS,357.46
1971-06-04,DEXJPUS,357.4
1971-06-07,DEXJPUS,357.4
1971-06-08,DEXJPUS,357.4
1971-06-09,DEXJPUS,357.4
1971-06-10,DEXJPUS,357.4
1971-06-11,DEXJPUS,357.4
1971-06-14,DEXJPUS,357.4
1971-06-15,DEXJPUS,357.46
1971-06-16,DEXJPUS,357.46
1971-06-17,DEXJPUS,357.46
1971-06-18,DEXJPUS,357.4
1971-06-21,DEXJPUS,357.4
1971-06-22,DEXJPUS,357.4
1971-06-23,DEXJPUS,357.4
1971-06-24,DEXJPUS,357.4
1971-06-25,DEXJPUS,357.4
1971-06-28,DEXJPUS,357.37
1971-06-29,DEXJPUS,357.39
1971-06-30,DEXJPUS,357.4
1971-07-01,DEXJPUS,357.4
1971-07-02,DEXJPUS,357.4
1971-07-05,DEXJPUS,357.4
1971-07-06,DEXJPUS,357.45
1971-07-07,DEXJPUS,357.46
1971-07-08,DEXJPUS,357.46
1971-07-09,DEXJPUS,357.4
1971-07-12,DEXJPUS,357.41
1971-07-13,DEXJPUS,357.44
1971-07-14,DEXJPUS,357.4
1971-07-15,DEXJPUS,357.4
1971-07-16,DEXJPUS,357.4
1971-07-19,DEXJPUS,357.39
1971-07-20,DEXJPUS,357.39
1971-07-21,DEXJPUS,357.4
1971-07-22,DEXJPUS,357.37
1971-07-23,DEXJPUS,357.36
1971-07-26,DEXJPUS,357.4
1971-07-27,DEXJPUS,357.37
1971-07-28,DEXJPUS,357.4
1971-07-29,DEXJPUS,357.4
1971-07-30,DEXJPUS,357.39
1971-08-02,DEXJPUS,357.41
1971-08-03,DEXJPUS,357.37
1971-08-04,DEXJPUS,357.37
1971-08-05,DEXJPUS,357.37
1971-08-06,DEXJPUS,357.37
1971-08-09,DEXJPUS,357.35
1971-08-10,DEXJPUS,357.39
1971-08-11,DEXJPUS,357.35
1971-08-12,DEXJPUS,357.4
1971-08-13,DEXJPUS,357.35
1971-08-16,DEXJPUS,357.35
1971-08-17,DEXJPUS,357.35
1971-08-18,DEXJPUS,357.35
1971-08-19,DEXJPUS,357.35
1971-08-20,DEXJPUS,357.35
1971-08-23,DEXJPUS,357.35
1971-08-24,DEXJPUS,357.35
1971-08-25,DEXJPUS,357.35
1971-08-26,DEXJPUS,357.35
1971-08-27,DEXJPUS,357.35
1971-08-30,DEXJPUS,357.35
1971-08-31,DEXJPUS,339.85
1971-09-01,DEXJPUS,341.01
1971-09-02,DEXJPUS,338.98
1971-09-03,DEXJPUS,340.14
1971-09-06,DEXJPUS,340.14
1971-09-07,DEXJPUS,339.79
1971-09-08,DEXJPUS,339.39
1971-09-09,DEXJPUS,339.07
1971-09-10,DEXJPUS,338.81
1971-09-13,DEXJPUS,338.98
1971-09-14,DEXJPUS,338.24
1971-09-15,DEXJPUS,338.41
1971-09-16,DEXJPUS,337.84
1971-09-17,DEXJPUS,337.95
1971-09-20,DEXJPUS,337.27
1971-09-21,DEXJPUS,337.34
1971-09-22,DEXJPUS,337.44
1971-09-23,DEXJPUS,337.27
1971-09-24,DEXJPUS,336.98
1971-09-27,DEXJPUS,336.25
1971-09-28,DEXJPUS,336.36
1971-09-29,DEXJPUS,335.57
1971-09-30,DEXJPUS,335.35
1971-10-01,DEXJPUS,333.39
1971-10-04,DEXJPUS,333.17
1971-10-05,DEXJPUS,333.14
1971-10-06,DEXJPUS,332.65
1971-10-07,DEXJPUS,332.61
1971-10-08,DEXJPUS,332.37
1971-10-11,DEXJPUS,332.37
1971-10-12,DEXJPUS,330.52
1971-10-13,DEXJPUS,331.4
1971-10-14,DEXJPUS,330.85
1971-10-15,DEXJPUS,330.58
1971-10-18,DEXJPUS,329.6
1971-10-19,DEXJPUS,330.85
1971-10-20,DEXJPUS,331.07
1971-10-21,DEXJPUS,330.79
1971-10-22,DEXJPUS,330.36
1971-10-25,DEXJPUS,330.36
1971-10-26,DEXJPUS,329.0
1971-10-27,DEXJPUS,329.54
1971-10-28,DEXJPUS,329.71
1971-10-29,DEXJPUS,329.5
1971-11-01,DEXJPUS,329.45
1971-11-02,DEXJPUS,329.45
1971-11-03,DEXJPUS,329.5
1971-11-04,DEXJPUS,330.87
1971-11-05,DEXJPUS,329.16
1971-11-08,DEXJPUS,329.22
1971-11-09,DEXJPUS,329.16
1971-11-10,DEXJPUS,329.11
1971-11-11,DEXJPUS,329.11
1971-11-12,DEXJPUS,329.49
1971-11-15,DEXJPUS,328.73
1971-11-16,DEXJPUS,328.62
1971-11-17,DEXJPUS,328.8
1971-11-18,DEXJPUS,328.68
1971-11-19,DEXJPUS,328.4
1971-11-22,DEXJPUS,328.41
1971-11-23,DEXJPUS,328.19
1971-11-24,DEXJPUS,328.04
1971-11-25,DEXJPUS,328.04
1971-11-26,DEXJPUS,327.6
1971-11-29,DEXJPUS,327.06
1971-11-30,DEXJPUS,327.44
1971-12-01,DEXJPUS,327.6
1971-12-02,DEXJPUS,326.0
1971-12-03,DEXJPUS,325.1
1971-12-06,DEXJPUS,326.53
1971-12-07,DEXJPUS,323.62
1971-12-08,DEXJPUS,323.5
1971-12-09,DEXJPUS,323.52
1971-12-10,DEXJPUS,323.1
1971-12-13,DEXJPUS,322.79
1971-12-14,DEXJPUS,322.58
1971-12-15,DEXJPUS,321.54
1971-12-16,DEXJPUS,320.0
1971-12-17,DEXJPUS,320.36
1971-12-20,DEXJPUS,320.36
1971-12-21,DEXJPUS,314.98
1971-12-22,DEXJPUS,314.96
1971-12-23,DEXJPUS,315.01
1971-12-24,DEXJPUS,315.21
1971-12-27,DEXJPUS,314.96
1971-12-28,DEXJPUS,315.01
1971-12-29,DEXJPUS,315.21
1971-12-30,DEXJPUS,315.01
1971-12-31,DEXJPUS,315.01
1972-01-03,DEXJPUS,314.86
1972-01-04,DEXJPUS,314.96
1972-01-05,DEXJPUS,314.86
1972-01-06,DEXJPUS,312.01
1972-01-07,DEXJPUS,312.5
1972-01-10,DEXJPUS,312.99
1972-01-11,DEXJPUS,314.47
1972-01-12,DEXJPUS,313.48
1972-01-13,DEXJPUS,313.97
1972-01-14,DEXJPUS,312.99
1972-01-17,DEXJPUS,313.38
1972-01-18,DEXJPUS,312.89
1972-01-19,DEXJPUS,312.79
1972-01-20,DEXJPUS,312.01
1972-01-21,DEXJPUS,312.3
1972-01-24,DEXJPUS,312.21
1972-01-25,DEXJPUS,311.82
1972-01-26,DEXJPUS,311.53
1972-01-27,DEXJPUS,310.08
1972-01-28,DEXJPUS,310.46
1972-01-31,DEXJPUS,310.56
1972-02-01,DEXJPUS,310.37
1972-02-02,DEXJPUS,308.55
1972-02-03,DEXJPUS,309.12
1972-02-04,DEXJPUS,308.64
1972-02-07,DEXJPUS,308.17
1972-02-08,DEXJPUS,307.69
1972-02-09,DEXJPUS,304.79
1972-02-10,DEXJPUS,304.69
1972-02-11,DEXJPUS,304.69
1972-02-14,DEXJPUS,304.23
1972-02-15,DEXJPUS,304.14
1972-02-16,DEXJPUS,303.95
1972-02-17,DEXJPUS,303.95
1972-02-18,DEXJPUS,303.49
1972-02-21,DEXJPUS,303.49
1972-02-22,DEXJPUS,302.85
1972-02-23,DEXJPUS,302.48
1972-02-24,DEXJPUS,302.11
1972-02-25,DEXJPUS,302.48
1972-02-28,DEXJPUS,303.95
1972-02-29,DEXJPUS,303.4
1972-03-01,DEXJPUS,303.21
1972-03-02,DEXJPUS,303.03
1972-03-03,DEXJPUS,302.66
1972-03-06,DEXJPUS,302.75
1972-03-07,DEXJPUS,302.3
1972-03-08,DEXJPUS,302.02
1972-03-09,DEXJPUS,301.66
1972-03-10,DEXJPUS,301.93
1972-03-13,DEXJPUS,302.3
1972-03-14,DEXJPUS,302.21
1972-03-15,DEXJPUS,302.11
1972-03-16,DEXJPUS,302.02
1972-03-17,DEXJPUS,302.11
1972-03-20,DEXJPUS,302.3
1972-03-21,DEXJPUS,302.11
1972-03-22,DEXJPUS,302.11
1972-03-23,DEXJPUS,301.93
1972-03-24,DEXJPUS,302.3
1972-03-27,DEXJPUS,302.57
1972-03-28,DEXJPUS,302.85
1972-03-29,DEXJPUS,303.77
1972-03-30,DEXJPUS,303.77
1972-03-31,DEXJPUS,304.32
1972-04-03,DEXJPUS,304.14
1972-04-04,DEXJPUS,304.97
1972-04-05,DEXJPUS,305.16
1972-04-06,DEXJPUS,304.88
1972-04-07,DEXJPUS,303.21
1972-04-10,DEXJPUS,302.11
1972-04-11,DEXJPUS,302.3
1972-04-12,DEXJPUS,302.43
1972-04-13,DEXJPUS,302.57
1972-04-14,DEXJPUS,302.94
1972-04-17,DEXJPUS,302.57
1972-04-18,DEXJPUS,302.39
1972-04-19,DEXJPUS,302.94
1972-04-20,DEXJPUS,303.03
1972-04-21,DEXJPUS,303.21
1972-04-24,DEXJPUS,305.16
1972-04-25,DEXJPUS,304.32
1972-04-26,DEXJPUS,303.77
1972-04-27,DEXJPUS,304.23
1972-04-28,DEXJPUS,304.88
1972-05-01,DEXJPUS,304.41
1972-05-02,DEXJPUS,304.23
1972-05-03,DEXJPUS,304.32
1972-05-04,DEXJPUS,304.23
1972-05-05,DEXJPUS,304.32
1972-05-08,DEXJPUS,305.06
1972-05-09,DEXJPUS,304.97
1972-05-10,DEXJPUS,303.77
1972-05-11,DEXJPUS,303.58
1972-05-12,DEXJPUS,303.86
1972-05-15,DEXJPUS,304.32
1972-05-16,DEXJPUS,304.41
1972-05-17,DEXJPUS,304.51
1972-05-18,DEXJPUS,304.6
1972-05-19,DEXJPUS,304.04
1972-05-22,DEXJPUS,304.41
1972-05-23,DEXJPUS,304.23
1972-05-24,DEXJPUS,304.32
1972-05-25,DEXJPUS,304.32
1972-05-26,DEXJPUS,304.41
1972-05-29,DEXJPUS,304.41
1972-05-30,DEXJPUS,305.34
1972-05-31,DEXJPUS,304.69
1972-06-01,DEXJPUS,304.41
1972-06-02,DEXJPUS,304.23
1972-06-05,DEXJPUS,304.69
1972-06-06,DEXJPUS,304.51
1972-06-07,DEXJPUS,304.41
1972-06-08,DEXJPUS,304.32
1972-06-09,DEXJPUS,304.23
1972-06-12,DEXJPUS,304.51
1972-06-13,DEXJPUS,304.04
1972-06-14,DEXJPUS,303.95
1972-06-15,DEXJPUS,304.04
1972-06-16,DEXJPUS,303.95
1972-06-19,DEXJPUS,303.86
1972-06-20,DEXJPUS,303.4
1972-06-21,DEXJPUS,302.94
1972-06-22,DEXJPUS,302.07
1972-06-23,DEXJPUS,294.12
1972-06-26,DEXJPUS,298.51
1972-06-27,DEXJPUS,298.51
1972-06-28,DEXJPUS,296.74
1972-06-29,DEXJPUS,300.75
1972-06-30,DEXJPUS,300.93
1972-07-03,DEXJPUS,300.84
1972-07-04,DEXJPUS,300.84
1972-07-05,DEXJPUS,300.03
1972-07-06,DEXJPUS,300.57
1972-07-07,DEXJPUS,300.93
1972-07-10,DEXJPUS,301.3
1972-07-11,DEXJPUS,301.57
1972-07-12,DEXJPUS,301.2
1972-07-13,DEXJPUS,301.02
1972-07-14,DEXJPUS,301.2
1972-07-17,DEXJPUS,301.02
1972-07-18,DEXJPUS,300.75
1972-07-19,DEXJPUS,301.2
1972-07-20,DEXJPUS,300.93
1972-07-21,DEXJPUS,301.11
1972-07-24,DEXJPUS,301.2
1972-07-25,DEXJPUS,300.75
1972-07-26,DEXJPUS,301.2
1972-07-27,DEXJPUS,301.2
1972-07-28,DEXJPUS,301.2
1972-07-31,DEXJPUS,301.39
1972-08-01,DEXJPUS,301.2
1972-08-02,DEXJPUS,301.2
1972-08-03,DEXJPUS,301.2
1972-08-04,DEXJPUS,300.93
1972-08-07,DEXJPUS,301.11
1972-08-08,DEXJPUS,301.2
1972-08-09,DEXJPUS,301.2
1972-08-10,DEXJPUS,301.11
1972-08-11,DEXJPUS,301.11
1972-08-14,DEXJPUS,301.11
1972-08-15,DEXJPUS,301.2
1972-08-16,DEXJPUS,301.2
1972-08-17,DEXJPUS,301.2
1972-08-18,DEXJPUS,301.2
1972-08-21,DEXJPUS,301.11
1972-08-22,DEXJPUS,301.2
1972-08-23,DEXJPUS,301.2
1972-08-24,DEXJPUS,301.2
1972-08-25,DEXJPUS,301.2
1972-08-28,DEXJPUS,301.2
1972-08-29,DEXJPUS,301.2
1972-08-30,DEXJPUS,301.11
1972-08-31,DEXJPUS,301.11
1972-09-01,DEXJPUS,301.11
1972-09-04,DEXJPUS,301.11
1972-09-05,DEXJPUS,301.2
1972-09-06,DEXJPUS,301.2
1972-09-07,DEXJPUS,301.11
1972-09-08,DEXJPUS,301.11
1972-09-11,DEXJPUS,301.2
1972-09-12,DEXJPUS,301.11
1972-09-13,DEXJPUS,301.11
1972-09-14,DEXJPUS,301.11
1972-09-15,DEXJPUS,301.11
1972-09-18,DEXJPUS,301.11
1972-09-19,DEXJPUS,301.11
1972-09-20,DEXJPUS,301.11
1972-09-21,DEXJPUS,301.11
1972-09-22,DEXJPUS,301.11
1972-09-25,DEXJPUS,301.11
1972-09-26,DEXJPUS,301.11
1972-09-27,DEXJPUS,301.02
1972-09-28,DEXJPUS,301.11
1972-09-29,DEXJPUS,301.11
1972-10-02,DEXJPUS,301.11
1972-10-03,DEXJPUS,301.11
1972-10-04,DEXJPUS,301.11
1972-10-05,DEXJPUS,301.11
1972-10-06,DEXJPUS,300.93
1972-10-09,DEXJPUS,300.93
1972-10-10,DEXJPUS,300.93
1972-10-11,DEXJPUS,301.02
1972-10-12,DEXJPUS,301.02
1972-10-13,DEXJPUS,301.11
1972-10-16,DEXJPUS,301.11
1972-10-17,DEXJPUS,301.11
1972-10-18,DEXJPUS,301.11
1972-10-19,DEXJPUS,301.02
1972-10-20,DEXJPUS,300.75
1972-10-23,DEXJPUS,300.75
1972-10-24,DEXJPUS,301.02
1972-10-25,DEXJPUS,301.2
1972-10-26,DEXJPUS,300.84
1972-10-27,DEXJPUS,300.48
1972-10-30,DEXJPUS,301.02
1972-10-31,DEXJPUS,301.11
1972-11-01,DEXJPUS,301.02
1972-11-02,DEXJPUS,300.66
1972-11-03,DEXJPUS,299.94
1972-11-06,DEXJPUS,301.02
1972-11-07,DEXJPUS,301.02
1972-11-08,DEXJPUS,301.02
1972-11-09,DEXJPUS,301.02
1972-11-10,DEXJPUS,300.93
1972-11-13,DEXJPUS,301.02
1972-11-14,DEXJPUS,301.02
1972-11-15,DEXJPUS,301.11
1972-11-16,DEXJPUS,301.11
1972-11-17,DEXJPUS,301.02
1972-11-20,DEXJPUS,301.11
1972-11-21,DEXJPUS,301.11
1972-11-22,DEXJPUS,301.11
1972-11-23,DEXJPUS,301.11
1972-11-24,DEXJPUS,301.02
1972-11-27,DEXJPUS,301.11
1972-11-28,DEXJPUS,301.2
1972-11-29,DEXJPUS,301.11
1972-11-30,DEXJPUS,301.11
1972-12-01,DEXJPUS,301.11
1972-12-04,DEXJPUS,301.11
1972-12-05,DEXJPUS,301.11
1972-12-06,DEXJPUS,301.11
1972-12-07,DEXJPUS,301.11
1972-12-08,DEXJPUS,301.11
1972-12-11,DEXJPUS,301.07
1972-12-12,DEXJPUS,301.11
1972-12-13,DEXJPUS,301.11
1972-12-14,DEXJPUS,301.11
1972-12-15,DEXJPUS,301.11
1972-12-18,DEXJPUS,301.11
1972-12-19,DEXJPUS,301.11
1972-12-20,DEXJPUS,301.11
1972-12-21,DEXJPUS,301.11
1972-12-22,DEXJPUS,301.11
1972-12-25,DEXJPUS,301.11
1972-12-26,DEXJPUS,301.39
1972-12-27,DEXJPUS,302.02
1972-12-28,DEXJPUS,302.02
1972-12-29,DEXJPUS,301.66
1973-01-01,DEXJPUS,301.66
1973-01-02,DEXJPUS,301.39
1973-01-03,TWEXM,108.25
1973-01-03,DEXJPUS,301.43
1973-01-04,DEXJPUS,301.2
1973-01-05,DEXJPUS,301.3
1973-01-08,DEXJPUS,302.21
1973-01-09,DEXJPUS,302.07
1973-01-10,TWEXM,108.31
1973-01-10,DEXJPUS,301.84
1973-01-11,DEXJPUS,301.48
1973-01-12,DEXJPUS,301.66
1973-01-15,DEXJPUS,301.66
1973-01-16,DEXJPUS,301.93
1973-01-17,DEXJPUS,302.11
1973-01-17,TWEXM,108.32
1973-01-18,DEXJPUS,302.21
1973-01-19,DEXJPUS,302.57
1973-01-22,DEXJPUS,302.48
1973-01-23,DEXJPUS,301.66
1973-01-24,TWEXM,108.27
1973-01-24,DEXJPUS,302.11
1973-01-25,DEXJPUS,301.84
1973-01-26,DEXJPUS,301.75
1973-01-29,DEXJPUS,301.66
1973-01-30,DEXJPUS,301.39
1973-01-31,DEXJPUS,301.39
1973-01-31,TWEXM,107.83
1973-02-01,DEXJPUS,300.93
1973-02-02,DEXJPUS,299.58
1973-02-05,DEXJPUS,300.75
1973-02-06,DEXJPUS,299.85
1973-02-07,DEXJPUS,299.85
1973-02-07,TWEXM,107.53
1973-02-08,DEXJPUS,299.4
1973-02-09,DEXJPUS,293.26
1973-02-12,DEXJPUS,293.26
1973-02-13,DEXJPUS,266.67
1973-02-14,TWEXM,107.09
1973-02-14,DEXJPUS,265.96
1973-02-15,DEXJPUS,263.02
1973-02-16,DEXJPUS,263.85
1973-02-19,DEXJPUS,263.85
1973-02-20,DEXJPUS,265.96
1973-02-21,TWEXM,101.33
1973-02-21,DEXJPUS,264.9
1973-02-22,DEXJPUS,265.46
1973-02-23,DEXJPUS,264.9
1973-02-26,DEXJPUS,265.6
1973-02-27,DEXJPUS,265.96
1973-02-28,TWEXM,100.56
1973-02-28,DEXJPUS,265.67
1973-03-01,DEXJPUS,265.6
1973-03-02,DEXJPUS,262.12
1973-03-05,DEXJPUS,259.07
1973-03-06,DEXJPUS,261.78
1973-03-07,DEXJPUS,261.92
1973-03-07,TWEXM,99.76
1973-03-08,DEXJPUS,261.44
1973-03-09,DEXJPUS,260.42
1973-03-12,DEXJPUS,257.07
1973-03-13,DEXJPUS,254.97
1973-03-14,TWEXM,99.36
1973-03-14,DEXJPUS,254.45
1973-03-15,DEXJPUS,255.75
1973-03-16,DEXJPUS,260.08
1973-03-19,DEXJPUS,263.16
1973-03-20,DEXJPUS,263.16
1973-03-21,TWEXM,100.05
1973-03-21,DEXJPUS,263.16
1973-03-22,DEXJPUS,263.5
1973-03-23,DEXJPUS,266.03
1973-03-26,DEXJPUS,265.53
1973-03-27,DEXJPUS,265.39
1973-03-28,TWEXM,100.46
1973-03-28,DEXJPUS,265.6
1973-03-29,DEXJPUS,265.67
1973-03-30,DEXJPUS,265.96
1973-04-02,DEXJPUS,266.03
1973-04-03,DEXJPUS,265.46
1973-04-04,TWEXM,100.79
1973-04-04,DEXJPUS,264.97
1973-04-05,DEXJPUS,264.55
1973-04-06,DEXJPUS,264.76
1973-04-09,DEXJPUS,265.53
1973-04-10,DEXJPUS,265.53
1973-04-11,TWEXM,100.71
1973-04-11,DEXJPUS,265.67
1973-04-12,DEXJPUS,266.03
1973-04-13,DEXJPUS,265.89
1973-04-16,DEXJPUS,265.6
1973-04-17,DEXJPUS,265.46
1973-04-18,DEXJPUS,265.46
1973-04-18,TWEXM,100.77
1973-04-19,DEXJPUS,265.53
1973-04-20,DEXJPUS,265.6
1973-04-23,DEXJPUS,265.6
1973-04-24,DEXJPUS,265.46
1973-04-25,DEXJPUS,265.46
1973-04-25,TWEXM,100.88
1973-04-26,DEXJPUS,265.6
1973-04-27,DEXJPUS,265.6
1973-04-30,DEXJPUS,265.53
1973-05-01,DEXJPUS,265.53
1973-05-02,TWEXM,100.95
1973-05-02,DEXJPUS,265.53
1973-05-03,DEXJPUS,265.53
1973-05-04,DEXJPUS,265.53
1973-05-07,DEXJPUS,265.53
1973-05-08,DEXJPUS,265.67
1973-05-09,TWEXM,100.9
1973-05-09,DEXJPUS,265.04
1973-05-10,DEXJPUS,265.04
1973-05-11,DEXJPUS,265.46
1973-05-14,DEXJPUS,264.76
1973-05-15,DEXJPUS,262.47
1973-05-16,TWEXM,100.15
1973-05-16,DEXJPUS,262.95
1973-05-17,DEXJPUS,264.48
1973-05-18,DEXJPUS,264.27
1973-05-21,DEXJPUS,262.95
1973-05-22,DEXJPUS,263.57
1973-05-23,DEXJPUS,264.2
1973-05-23,TWEXM,99.53
1973-05-24,DEXJPUS,264.55
1973-05-25,DEXJPUS,264.83
1973-05-28,DEXJPUS,264.83
1973-05-29,DEXJPUS,264.9
1973-05-30,TWEXM,99.43
1973-05-30,DEXJPUS,264.83
1973-05-31,DEXJPUS,264.69
1973-06-01,DEXJPUS,264.06
1973-06-04,DEXJPUS,262.88
1973-06-05,DEXJPUS,262.88
1973-06-06,DEXJPUS,264.13
1973-06-06,TWEXM,98.37
1973-06-07,DEXJPUS,264.27
1973-06-08,DEXJPUS,264.41
1973-06-11,DEXJPUS,264.69
1973-06-12,DEXJPUS,264.69
1973-06-13,DEXJPUS,264.62
1973-06-13,TWEXM,98.6
1973-06-14,DEXJPUS,264.69
1973-06-15,DEXJPUS,264.69
1973-06-18,DEXJPUS,264.69
1973-06-19,DEXJPUS,264.83
1973-06-20,DEXJPUS,264.97
1973-06-20,TWEXM,98.32
1973-06-21,DEXJPUS,265.04
1973-06-22,DEXJPUS,265.04
1973-06-25,DEXJPUS,265.18
1973-06-26,DEXJPUS,265.18
1973-06-27,TWEXM,97.89
1973-06-27,DEXJPUS,265.18
1973-06-28,DEXJPUS,265.18
1973-06-29,DEXJPUS,263.16
1973-07-02,DEXJPUS,265.25
1973-07-03,DEXJPUS,265.04
1973-07-04,TWEXM,96.76
1973-07-04,DEXJPUS,265.04
1973-07-05,DEXJPUS,265.11
1973-07-06,DEXJPUS,262.12
1973-07-09,DEXJPUS,259.4
1973-07-10,DEXJPUS,263.16
1973-07-11,TWEXM,95.98
1973-07-11,DEXJPUS,264.83
1973-07-12,DEXJPUS,264.76
1973-07-13,DEXJPUS,265.04
1973-07-16,DEXJPUS,265.11
1973-07-17,DEXJPUS,265.25
1973-07-18,TWEXM,96.42
1973-07-18,DEXJPUS,265.11
1973-07-19,DEXJPUS,265.18
1973-07-20,DEXJPUS,265.6
1973-07-23,DEXJPUS,266.17
1973-07-24,DEXJPUS,265.6
1973-07-25,DEXJPUS,265.53
1973-07-25,TWEXM,96.25
1973-07-26,DEXJPUS,265.6
1973-07-27,DEXJPUS,264.76
1973-07-30,DEXJPUS,263.57
1973-07-31,DEXJPUS,263.44
1973-08-01,DEXJPUS,263.44
1973-08-01,TWEXM,96.3
1973-08-02,DEXJPUS,264.76
1973-08-03,DEXJPUS,265.39
1973-08-06,DEXJPUS,265.11
1973-08-07,DEXJPUS,265.25
1973-08-08,TWEXM,96.78
1973-08-08,DEXJPUS,265.18
1973-08-09,DEXJPUS,265.11
1973-08-10,DEXJPUS,265.25
1973-08-13,DEXJPUS,265.46
1973-08-14,DEXJPUS,265.46
1973-08-15,DEXJPUS,265.46
1973-08-15,TWEXM,97.71
1973-08-16,DEXJPUS,265.39
1973-08-17,DEXJPUS,265.53
1973-08-20,DEXJPUS,265.6
1973-08-21,DEXJPUS,265.18
1973-08-22,TWEXM,98.17
1973-08-22,DEXJPUS,265.25
1973-08-23,DEXJPUS,265.25
1973-08-24,DEXJPUS,265.25
1973-08-27,DEXJPUS,265.32
1973-08-28,DEXJPUS,265.32
1973-08-29,DEXJPUS,265.32
1973-08-29,TWEXM,98.21
1973-08-30,DEXJPUS,265.39
1973-08-31,DEXJPUS,265.39
1973-09-03,DEXJPUS,265.39
1973-09-04,DEXJPUS,265.46
1973-09-05,DEXJPUS,265.39
1973-09-05,TWEXM,98.17
1973-09-06,DEXJPUS,265.39
1973-09-07,DEXJPUS,265.39
1973-09-10,DEXJPUS,265.39
1973-09-11,DEXJPUS,265.46
